No.,Author,Title,Publication,Start_Year,End_Year,Publication_Type,Source,비고
558,현치수,주살,야담,1958.04.,,Article,M,
559,현치수,사심불심,야담,1958.05.,,Article,M,
560,현치수,특종밀매업자,아리랑,1958.07.,,Article,M,
561,현치수,묘지의 참변,아리랑,1958.09.,,Article,M,
562,현치수,유도 초단 처녀의 가을밤,화제,1958.09.,,Article,M,
563,현치수,분실한 군자금,야담,1958.10.,,Article,M,
564,현치수,죽음의 예언,소설계,1958.12.,,Article,M,
565,현치수,대화의 끝,소설계,1959.07.,,Article,M,
566,현치수,효성의 칼,야담,1959.07.,,Article,M,
567,현치수,안경 노이로제,소설계,1959.09.,,Article,M,
568,현치수,혼선,소설계,1959.11.,,Article,M,
569,김기진,최후의 심판,세창서관,1953,,Book,M,
570,김내성,마인,해왕사,1948,,Book,M,
571,김내성,마인,청운사,1953,,Book,M,
572,김내성,비밀의 문,청운사,1953,,Book,M,
573,김내성,비밀의 문,문성당,1958,,Book,M,
574,김내성,백가면,평범사,1953,,Book,M,
575,김내성,괴기의 화첩,청운사,1953,,Book,M,
576,김내성,괴기의 화접,육영사,1954,,Book,M,
577,김내성,사상의 장미,신태양사,1955,,Book,M,
578,김내성,황금박쥐,학원사,1957,,Book,M,
579,나만식,복면의 가인,백조사,1952,,Book,M,
580,박현철,다섯손가락,청춘사,1949,,Book,M,
581,방인근,괴시체,영인서관,1946,,Book,M,
582,방인근,괴시체,중앙출판사,1950,,Book,M,
583,방인근,괴시체,대지사,1954,,Book,M,
584,방인근,국보와 괴적,문운당,1948,,Book,M,
585,방인근,국보와 괴적,평범사,1952,,Book,M,
586,방인근,복수,문운당,1948,,Book,M,
587,방인근,복수,영륜사,1957,,Book,M,
588,방인근,악마,문성당,1949,,Book,M,출판사 '문운당'의 오기?
589,방인근,악마,범조사,1957,,Book,M,
590,방인근,원한의 복수,문연사,1949,,Book,M,
591,방인근,대도와 보물,대지사,1951,,Book,M,
592,방인근,대도와 보물,대문사,1958,,Book,M,
593,방인근,범죄왕,범조사,1951,,Book,M,
594,방인근,범죄왕,문성당,1954,,Book,M,
595,방인근,국제살인마,창문사,1954,,Book,M,
596,방인근,국제살인마,계문,1957,,Book,M,
597,방인근,국제살인마,진문출판사,1962,,Book,M,
598,방인근,미인 스파이,대문사,1954,,Book,M,
599,방인근,미인 스파이,대지사,1956,,Book,M,
600,방인근,장미부인의 정체,대중문화사,1954,,Book,M,
601,방인근,그 여자의 정체,기문사,1955,,Book,M,
602,석해조,고도의 여왕,삼성사,1954,,Book,M,
603,석해조,고도의 여왕,중앙출판사,1957,,Book,M,
604,유동렬,쌍둥이의 복수,녹양사,1957,,Book,M,
605,이몽석,성당의 비화,동아문화사,1952,,Book,M,
606,이몽석,삼마선,동아문화사,1956,,Book,M,
607,이몽석,제2의 운명,청록문화사,1959,,Book,M,
608,이몽석,지옥의 문,청록문화사,1959,,Book,M,
609,이몽석,악마의 발자국,청록문화사,1959,,Book,M,
610,이봉권,방전탑의 비밀,대지사,1954,,Book,M,
611,임거문,괴도의 비밀,삼지사,1953,,Book,M,
