No.,Title,Author,Publication,Start_Year,End_Year,Publication_Type,Source,비고
215,1907 : 장루이 미스터리 픽스토리. 제1-2권,장루이,달아실출판사,2019,,Book,"MK, MN",
216,교동회관 밀실 살인사건 : 윤자영 장편소설,윤자영,책과나무,2019,,Book,"MK, DN",
217,기생감 : 미스터리스릴러SF모음집,"송한별,허설,은상,네크,이일경,곽재식",온우주,2019,,Anthology,"MK, MN",
218,나는 연쇄살인자와 결혼했다 : 홍선주 장편소설,홍선주,부크크,2019,,Book,"MK, DN",
219,나당 탐정사무소 사건일지 : 윤자영 연작소설,윤자영,책과나무,2019,,Book,"MK, DN",
220,나침반 : 썩은 나무,해윰,부크크,2019,,Book,"MK, DN",
221,내가 죽였다 : 정해연 장편소설,정해연,연담L,2019,,Book,"MK, DN",
222,내가 죽인 남자가 돌아왔다,황세연,마카롱,2019,,Book,"MK, DN",
223,너와 나의 미스터리 : Jake's mystery theatre : 이재익 소설집. vol.1,이재익,가쎄,2019,,Book,"MK, MN",
224,대나무가 우는 섬 : 송시우 장편소설,송시우,시공사,2019,,Book,"MK, DN",
225,마지막 여행 : 이종열 장편추리소설집,이종열,좋은땅,2019,,Book,"MK, DN",
226,맹탐정 고민 상담소 : 이선주 장편소설,이선주,문학동네,2019,,Book,"MK, DN",
227,반전이 없다,조영주,연담L,2019,,Book,"MK, DN",
228,붉은 열대어 : 김나영 미스터리 스릴러,김나영,고즈넉이엔티,2019,,Book,"MK, MN",
229,빨간 모자 : 김지연 미스터리 스릴러,김지연,고즈넉이엔티,2019,,Book,"MK, MN",
230,서칭 포 허니맨 : 양봉남을 찾아서 : 박현주 로맨스 미스터리,박현주,위즈덤하우스,2019,,Book,"MK, MN",
231,시체 옆에 피는 꽃 : 공민철 소설집,공민철,책과나무,2019,,Book,"MK, DN",
232,싱글몰트 사나이 : 유광수 추리소설,유광수,휴먼앤북스,2019,,Book,"MK, DN, MN",동일
233,악의의 질량 : 홍성호 장편소설,홍성호,책과나무,2019,,Book,"MK, DN",
234,어위크,"강지영,김성희,노희준,소현수,신원섭,전건우,정명섭,정해연",CABINET(캐비넷),2019,,Anthology,"MK, DN",
235,연수원 살인사건 : 김경수 직장 미스터리,김경수,한스컨텐츠,2019,,Book,"MK, DN, MN",동일
236,죽이고 싶은 : 한수옥 장편소설,한수옥,책과나무,2019,,Book,"MK, DN",
237,청년은 탐정도 불안하다 : 김재희 장편소설,김재희,책과나무,2019,,Book,"MK, DN",
238,캐리어 : 김혜빈 미스터리 스릴러,김혜빈,고즈넉이엔티,2019,,Book,"MK, MN",
239,콜24 : 김유철 장편소설,김유철,네오픽션,2019,,Book,"MK, DN",
240,클린 코드 : 설혜원 미스터리 소설,설혜원,지금이책,2019,,Book,"MK, DN, MN",동일
241,탐정 전일도 사건집,한켠,황금가지,2019,,Book,"MK, DN",
242,현장검증 : 이종관 미스터리 스릴러,이종관,고즈넉이엔티,2019,,Book,"MK, DN",
243,현장검증 : 이종관 미스터리 스릴러,이종관,고즈넉이엔티,2019,,Book,"MK, MN",
244,형사 오병호 : 김성종 장편추리소설,김성종,남도출판사,2019,,Book,"MK, DN",
245,(한국추리문학상) 황금펜상 수상작품집 : 2007~2020 특별판,"황세연,김유철,박하익,송시우,조동신,홍성호,공민철,한이,정가일",나비클럽,2020,,Anthology,"MK, DN",
246,(MBC) 수사반장 : 방송 50주년 기념 작품,조동신,리한컴퍼니,2020,,Book,"MK, DN",
247,가려진 진실,구디,부크크,2020,,Book,"MK, DN",
